"","model_id","sample_id","patient_id","parent_id","model_name","synonyms","tissue","cancer_type","cancer_type_ncit_id","tissue_status","sample_site","cancer_type_detail","model_type","growth_properties","model_treatment","sampling_day","sampling_month","sampling_year","doi","pmed","msi_status","ploidy_snp6","ploidy_wes","ploidy_wgs","mutational_burden","model_comments","model_relations_comment","COSMIC_ID","BROAD_ID","CCLE_ID","RRID","HCMI","suppliers","supplier","cat_number","species","gender","ethnicity","age_at_sampling","family_history_of_cancer","prior_same_malignancy","prior_other_malignancy","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","patient_history_of_gastrointestinal_disorder","gastrointestinal_disorder_diagnosed","prior_synchronous_colon_rectal_tumours","history_prior_colon_polyps","previous_current_barretts_oesophagus","reflux_disease_prior","reflux_disease_treatment","h_pylori_infection","history_clinical_chronic_pancreatitis","tumour_grade","tnm_integrated","tnm_t","tnm_n","tnm_m","clinical_staging","metastasis_at_diagnosis","metastatic_site_at_diagnosis","method_procurement","sample_treatment","sample_treatment_details","radiation_type","prior_therapy_outcome","tumour_regression_score","colon_polyps_present_at_time_of_tissue_collection","venous_invasion_present","venous_invasion_type","lymphatic_invasion_present","perineural_invasion_present","gastric_oesophageal_junction","barretts_goblet_cells_present","oesophageal_columnar_metaplasia","goblet_cells_oesophageal_columnar_mucosa","degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa","peripancreatic_lymph_nodes_tested_surgery","number_positive_peripancreatic_lymph_nodes","mlh1_expression_by_ihc","mlh1_promoter_methylation_status","msh2_expression_by_ihc","pms2_expression_by_ihc","msh6_expression_by_ihc","braf_mutation_identified","braf_expression_by_ihc","pik3ca_mutation_identified","pten_expression_by_ihc","pten_mutation_identified","kras_mutation_identified","mismatch_repair_status","preoperative_ce_alevel","crispr_ko_data"
"650","SIDM00749","SIDS00230","SIDP00189","","NCIH1573","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Soft tissue","Lung Adenocarcinoma","Cell Line","Adherent","","None","12","1986","",NA,"MSS",1.661882845,1.76038436574429,NA,188.66,"","","908472","ACH-000916","NCIH1573_LUNG","CVCL_1478","","ATCC:CRL-5877","ATCC","CRL-5877","Homo sapiens","Female","White","35.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"651","SIDM00748","SIDS00231","SIDP00190","","NCIH1581","","Lung","Non-Small Cell Lung Carcinoma","C4450","Tumour","Lung","Large Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","1","1987","",NA,"MSS",3.189663341,1.711993281509,NA,35.13,"","","908471","ACH-000015","NCIH1581_LUNG","CVCL_1479","","ATCC:CRL-5878","ATCC","CRL-5878","Homo sapiens","Male","White","44.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"652","SIDM00747","SIDS00232","SIDP00191","","NCIH1623","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Semi-Adherent","","None","4","1987","",NA,"MSS",2.63487674,2.73690056085091,NA,76.45,"","","687798","ACH-000744","NCIH1623_LUNG","CVCL_1481","","ATCC:CRL-5881","ATCC","CRL-5881","Homo sapiens","Male","White","58.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"653","SIDM00746","SIDS00233","SIDP00192","","NCIH1648","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","5","1987","",NA,"MSS",2.43707672,2.51426964088324,NA,82.74,"","","687799","ACH-000766","NCIH1648_LUNG","CVCL_1482","","ATCC:CRL-5882","ATCC","CRL-5882","Homo sapiens","Male","Black","39.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"654","SIDM00745","SIDS00234","SIDP00193","","NCIH1650","H1650_CO","Lung","Non-Small Cell Lung Carcinoma","C2923","Metastasis","Pleural effusion","Bronchiolo-Alveolar Lung Carcinoma","Cell Line","Adherent","","None","5","1987","",NA,"MSS",1.991831895,2.08636216711004,NA,21.53,"","","687800","ACH-000035","NCIH1650_LUNG","CVCL_1483","","ATCC:CRL-5883","ATCC","CRL-5883","Homo sapiens","Male","White","27.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"655","SIDM00743","SIDS00236","SIDP00195","","NCIH1666","H1666_DA","Lung","Non-Small Cell Lung Carcinoma","C2923","Metastasis","Pleural effusion","Bronchiolo-Alveolar Lung Carcinoma","Cell Line","Semi-Adherent","","None","6","1986","",NA,"MSS",2.957840032,3.08992733585652,NA,40.47,"","","908473","ACH-000448","NCIH1666_LUNG","CVCL_1485","","ATCC:CRL-5885","ATCC","CRL-5885","Homo sapiens","Female","White","50.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"656","SIDM00792","SIDS00053","SIDP00041","","NCIH1688","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Liver","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.732902954,3.08127721579163,NA,78.32,"","","1298349","ACH-002170","NCIH1688_LUNG","CVCL_1487","","ATCC:CCL-257","ATCC","CCL-257","Homo sapiens","Male","White","50.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"657","SIDM00741","SIDS00238","SIDP00197","","NCIH1694","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Ascites","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","7","1987","",NA,"MSS",2.403295752,2.51256482002541,NA,48.55,"","","688006","ACH-000431","NCIH1694_LUNG","CVCL_1489","","ATCC:CRL-5888","ATCC","CRL-5888","Homo sapiens","Male","White","61.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"658","SIDM00739","SIDS00240","SIDP00199","","NCIH1734","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","9","1987","",NA,"MSS",2.492666737,2.62792063086546,NA,73.37,"","","722058","ACH-000675","NCIH1734_LUNG","CVCL_1491","","ATCC:CRL-5891","ATCC","CRL-5891","Homo sapiens","Female","Unknown","56.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"659","SIDM00738","SIDS00241","SIDP00200","","NCIH1755","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Liver","Lung Adenocarcinoma","Cell Line","Semi-Adherent","","None","10","1987","",NA,"MSS",3.009254755,2.92324255131342,NA,36.97,"","","908475","ACH-000282","NCIH1755_LUNG","CVCL_1492","","ATCC:CRL-5892","ATCC","CRL-5892","Homo sapiens","Female","White","65.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"662","SIDM00715","SIDS00265","SIDP00219","","NCIH2030","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","9","1988","",NA,"MSS",2.114153336,3.90936459292659,NA,47,"","","722045","ACH-000521","NCIH2030_LUNG","CVCL_1517","","ATCC:CRL-5914","ATCC","CRL-5914","Homo sapiens","Male","Unknown","0.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"663","SIDM00710","SIDS00269","SIDP00222","","NCIH2081","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","11","1988","",NA,"MSS",3.050388456,3.16926890160073,NA,51.84,"","","908480","ACH-000394","NCIH2081_LUNG","CVCL_1522","","ATCC:CRL-5920","ATCC","CRL-5920","Homo sapiens","Female","White","59.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"664","SIDM00708","SIDS00271","SIDP00224","","NCIH2087","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","11","1988","",NA,"MSS",2.391760821,2.65716180316081,NA,61.87,"","NCI-BL2087 is a lymphoblastoid line from the same patient as NCI-H2087 (ATCC).","724834","ACH-000841","NCIH2087_LUNG","CVCL_1524","","ATCC:CRL-5922","ATCC","CRL-5922","Homo sapiens","Male","White","69.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"665","SIDM00706","SIDS00273","SIDP00225","","NCIH209","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Bone marrow","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","12","1979","",NA,"MSS",3.943454621,1.99783908506558,NA,49.5,"","NCI-BL209 is a lymphoblastoid line from the same patient as NCI-H209 (ATCC).","688013","ACH-000290","NCIH209_LUNG","CVCL_1525","","ATCC:HTB-172","ATCC","HTB-172","Homo sapiens","Male","White","55.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"666","SIDM00704","SIDS00275","SIDP00226","","NCIH211","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","1","1980","",NA,"MSS",1.801945111,1.91952898252615,NA,56.39,"","","1240189","ACH-000639","NCIH211_LUNG","CVCL_1529","","ATCC:CRL-5824","ATCC","CRL-5824","Homo sapiens","Female","White","50.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"667","SIDM00716","SIDS00282","SIDP00231","","NCIH2170","","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","4","1989","",NA,"MSS",5.473141565,2.89250407069789,NA,36.89,"","","687815","ACH-000481","NCIH2170_LUNG","CVCL_1535","","ATCC:CRL-5928","ATCC","CRL-5928","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"668","SIDM00733","SIDS00283","SIDP00232","","NCIH2171","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","4","1989","",NA,"MSS",1.809606521,1.84270174034072,NA,73.82,"","NCI-BL2171 is a lymphoblastoid line from the same patient as NCI-H2171 (ATCC).","688015","ACH-000525","NCIH2171_LUNG","CVCL_1536","","ATCC:CRL-5929","ATCC","CRL-5929","Homo sapiens","Male","White","50.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"669","SIDM00730","SIDS00287","SIDP00235","","NCIH2227","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","8","1989","",NA,"MSS",2.508879449,2.55615128221633,NA,49.87,"","","688018","ACH-000610","NCIH2227_LUNG","CVCL_1542","","ATCC:CRL-5934","ATCC","CRL-5934","Homo sapiens","Male","White","54.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"670","SIDM00727","SIDS00290","SIDP00238","","NCIH2342","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","4","1990","",NA,"MSS",3.663892516,4.73684976523403,NA,240.76,"","","687819","ACH-000951","NCIH2342_LUNG","CVCL_1549","","ATCC:CRL-5941","ATCC","CRL-5941","Homo sapiens","Male","White","55.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"671","SIDM00726","SIDS00291","SIDP00239","","NCIH2347","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","5","1990","",NA,"MSS",3.756108677,3.86126962044441,NA,124.29,"","NCI-BL2347 is a lymphoblastoid line from the same patient as NCI-H2347 (ATCC).","687820","ACH-000875","NCIH2347_LUNG","CVCL_1550","","ATCC:CRL-5942","ATCC","CRL-5942","Homo sapiens","Female","White","54.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"672","SIDM00723","SIDS00294","SIDP00241","","NCIH2444","","Lung","Non-Small Cell Lung Carcinoma","C2926","Tumour","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","11","1990","",NA,"MSS",2.361224437,2.59656518488413,NA,39.53,"","","1298356","ACH-000186","NCIH2444_LUNG","CVCL_1552","","ATCC:CRL-5945","ATCC","CRL-5945","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"673","SIDM00722","SIDS00295","SIDP00242","","NCIH2452","","Lung","Mesothelioma","C45665","Tumour","Unknown","Pleural Biphasic Mesothelioma","Cell Line","Adherent","","None","11","1990","",NA,"MSS",3.309633959,3.35109854269352,NA,22.08,"","","908462","ACH-000092","NCIH2452_PLEURA","CVCL_1553","","ATCC:CRL-5946","ATCC","CRL-5946","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"688","SIDM00810","SIDS00071","SIDP00056","","A427","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Lung","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.126441891,3.22368855369452,NA,53.03,"","","910851","ACH-000757","A427_LUNG","CVCL_1055","","ATCC:HTB-53","ATCC","HTB-53","Homo sapiens","Male","White","52.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"710","SIDM00751","SIDS00228","SIDP00187","","NCIH1563","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Lung","Lung Adenocarcinoma","Cell Line","Adherent","","None","12","1986","",NA,"MSS",3.672370747,3.64296116624875,NA,92.71,"","","753600","ACH-000892","NCIH1563_LUNG","CVCL_1475","","ATCC:CRL-5875","ATCC","CRL-5875","Homo sapiens","Male","Unknown","0.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"711","SIDM00771","SIDS00245","SIDP00203","","NCIH1792","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","1987","",NA,"MSS",2.163915823,2.36126022914042,NA,38.39,"","","724868","ACH-000496","NCIH1792_LUNG","CVCL_1495","","ATCC:CRL-5895","ATCC","CRL-5895","Homo sapiens","Male","White","50.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"712","SIDM00755","SIDS00246","SIDP00204","","NCIH1793","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","12","1987","",NA,"MSS",3.21613952,3.38284108385409,NA,136.11,"","","908463","ACH-000888","NCIH1793_LUNG","CVCL_1496","","ATCC:CRL-5896","ATCC","CRL-5896","Homo sapiens","Female","Unknown","52.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"713","SIDM00769","SIDS00248","SIDP00206","","NCIH1838","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","2","1988","",NA,"MSS",2.748032961,3.05335261687968,NA,76.47,"","","687807","ACH-000733","NCIH1838_LUNG","CVCL_1499","","ATCC:CRL-5899","ATCC","CRL-5899","Homo sapiens","Female","Unknown","0.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"714","SIDM00763","SIDS00254","SIDP00210","","NCIH1915","","Lung","Non-Small Cell Lung Carcinoma","C2926","Metastasis","Brain","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","4","1988","",NA,"MSS",2.00929627,2.15690261899646,NA,65.37,"","","1240184","ACH-000434","NCIH1915_LUNG","CVCL_1505","","ATCC:CRL-5904","ATCC","CRL-5904","Homo sapiens","Female","White","61.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"715","SIDM00761","SIDS00256","SIDP00212","","NCIH196","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","10","1979","",NA,"MSS",2.351384787,2.52204972726749,NA,59.32,"","","1240186","ACH-000752","NCIH196_LUNG","CVCL_1509","","ATCC:CRL-5823","ATCC","CRL-5823","Homo sapiens","Male","White","68.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"716","SIDM00759","SIDS00258","SIDP00214","","NCIH1975","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","7","1988","",NA,"MSS",2.829888661,2.94665634476397,NA,41.18,"","","924244","ACH-000587","NCIH1975_LUNG","CVCL_1511","","ATCC:CRL-5908","ATCC","CRL-5908","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"717","SIDM00756","SIDS00261","SIDP00216","","NCIH2009","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","8","1988","",NA,"MSS",4.772955726,2.35159876677019,NA,108.37,"","NCI-BL2009 is a lymphoblastoid line derived from the same patient as NCI-H2009 (ATCC).","724873","ACH-000886","NCIH2009_LUNG","CVCL_1514","","ATCC:CRL-5911","ATCC","CRL-5911","Homo sapiens","Female","White","68.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"718","SIDM00753","SIDS00263","SIDP00217","","NCIH2023","","Lung","Squamous Cell Lung Carcinoma","C3493","Metastasis","Lymph node","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","9","1988","",NA,"MSS",2.470210817,2.6917974301805,NA,75.55,"","","1240187","ACH-000781","NCIH2023_LUNG","CVCL_1515","","ATCC:CRL-5912","ATCC","CRL-5912","Homo sapiens","Male","White","26.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"731","SIDM01118","SIDS00316","SIDP00263","","NCIH740","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","6","1984","",NA,"MSS",3.286186262,3.42455320467004,NA,73.95,"","","1331055","ACH-002175","NCIH740_LUNG","CVCL_1586","","ATCC:CRL-5840","ATCC","CRL-5840","Homo sapiens","Male","White","63.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"740","SIDM00903","SIDS00075","SIDP00060","","A549","NCI-A549;A549/ATCC;hA549","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","1972","",NA,"MSS",2.761944611,2.79017000501461,NA,39.18,"","The human umbilical vein cell line, EA.hy926, was established by fusing primary human umbilical vein cells with a thioguanine-resistant clone of A549 by exposure to polyethylene glycol (PEG). Hybrid clones were selected in HAT medium and screened for factor VIII-related antigen. (ATCC)","905949","ACH-000681","A549_LUNG","CVCL_0023","","NCI:A549","NCI","A549","Homo sapiens","Male","White","58.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"769","SIDM00865","SIDS00114","SIDP00091","","DMS114","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.893369504,3.02429891372556,NA,36.39,"","","687983","ACH-000530","DMS114_LUNG","CVCL_1174","","ATCC:CRL-2066","ATCC","CRL-2066","Homo sapiens","Male","White","68.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"815","SIDM00939","SIDS00468","SIDP00405","","CAL12T","","Lung","Non-Small Cell Lung Carcinoma","C2926","Tumour","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","1981","",NA,"MSS",2.4042772,2.55482977728895,NA,75.87,"","","753540","ACH-000826","CAL12T_LUNG","CVCL_1105","","DSMZ:ACC-443","DSMZ","ACC-443","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"823","SIDM00953","SIDS00491","SIDP00428","","CPCN","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural Effusion","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","1987","",NA,"MSS",2.069793945,2.14304768560336,NA,45.47,"","","753547","ACH-001049","CPCN_LUNG","CVCL_1146","","DSMZ:ACC-306","DSMZ","ACC-306","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"825","SIDM00924","SIDS00101","SIDP00083","","CHAGOK1","","Lung","Other Solid Cancers","C35875","Tumour","Bronchus","Bronchogenic Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.13539469,2.26427361641114,NA,76.05,"","","687596","ACH-000867","CHAGOK1_LUNG","CVCL_1121","","ATCC:HTB-168","ATCC","HTB-168","Homo sapiens","Male","Unknown","45.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"834","SIDM00925","SIDS00301","SIDP00248","","NCIH441","NCI-H441-4;NCI-441","Lung","Non-Small Cell Lung Carcinoma","C5650","Metastasis","Pericardial fluid","Papillary Lung Adenocarcinoma","Cell Line","Adherent","","None","None","1982","",NA,"MSS",2.670447857,2.78882126747867,NA,58.21,"","","908460","ACH-000638","NCIH441_LUNG","CVCL_1561","","ATCC:HTB-174","ATCC","HTB-174","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"835","SIDM00965","SIDS00302","SIDP00249","","NCIH446","NCI-446","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","1982","",NA,"MSS",3.113513859,3.09155597593207,NA,78.45,"","","688023","ACH-000800","NCIH446_LUNG","CVCL_1562","","ATCC:HTB-171","ATCC","HTB-171","Homo sapiens","Male","White","61.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"836","SIDM00927","SIDS00303","SIDP00250","","NCIH510A","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Adrenal Gland","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","1982","",NA,"MSS",2.689424648,2.83220469227626,NA,121.84,"","","753605","ACH-000871","NCIH510_LUNG","CVCL_1565","","ATCC:HTB-184","ATCC","HTB-184","Homo sapiens","Male","White","56.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"864","SIDM01071","SIDS00522","SIDP00458","","HCC33","HCC0033","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.88843558,3.01985639311155,NA,43.26,"","","1303901","ACH-000515","HCC33_LUNG","CVCL_2058","","DSMZ:ACC-487","DSMZ","ACC-487","Homo sapiens","Male","Unknown","52.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"865","SIDM01067","SIDS00526","SIDP00462","","HCC827","HCC0827","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Lung","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.843758412,3.06026481280526,NA,38.34,"","HCC-827-GR5 is a Gefitinib resistant clone of HCC-827. (10.1126/science.1141478).","1240146","ACH-000012","HCC827_LUNG","CVCL_2063","","DSMZ:ACC-566","DSMZ","ACC-566","Homo sapiens","Female","Unknown","39.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"886","SIDM00926","SIDS00285","SIDP00233","","NCIH2172","","Lung","Non-Small Cell Lung Carcinoma","C2926","Tumour","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","5","1989","",NA,"MSS",4.230089926,4.23987113801053,NA,142.47,"","","1298353","ACH-000924","NCIH2172_LUNG","CVCL_1537","","ATCC:CRL-5930","ATCC","CRL-5930","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
